"merge_id","company_name","report_year","llm_or_manual_id","llm_page","llm_year","llm_scope","llm_value","llm_unit","non_exp_1_id","non_exp_2_id","non_exp_1_is_value_correct","non_exp_2_is_value_correct","non_exp_1_corrected_value","non_exp_2_corrected_value","non_exp_1_is_unit_correct","non_exp_2_is_unit_correct","non_exp_1_corrected_unit","non_exp_2_corrected_unit","non_exp_1_is_page_correct","non_exp_2_is_page_correct","non_exp_1_corrected_page","non_exp_2_corrected_page","non_exp_1_expert_requested_for_rec","non_exp_2_expert_requested_for_rec","non_exp_1_expert_requested_for_doc","non_exp_2_expert_requested_for_doc","non_exp_1_metric_name","non_exp_2_metric_name","non_exp_1_display_type","non_exp_2_display_type","non_exp_filter_doc","non_exp_filter_rec","non_exp_1_value","non_exp_2_value","non_exp_1_unit","non_exp_2_unit","non_exp_1_page","non_exp_2_page","non_exp_1_value_reasoning","non_exp_2_value_reasoning","non_exp_1_unit_reasoning","non_exp_2_unit_reasoning","exp_group_1_exp_1_id","exp_group_1_exp_2_id","exp_group_1_value_who_is_right","exp_group_1_corrected_value","exp_group_1_value_reasoning","exp_group_1_unit_who_is_right","exp_group_1_corrected_unit","exp_group_1_unit_reasoning","exp_group_1_corrected_page","exp_group_2_exp_1_id","exp_group_2_exp_2_id","exp_group_2_value_who_is_right","exp_group_2_corrected_value","exp_group_2_value_reasoning","exp_group_2_unit_who_is_right","exp_group_2_corrected_unit","exp_group_2_unit_reasoning","exp_group_2_corrected_page","exp_group_filter_rec","exp_group_1_value","exp_group_2_value","exp_group_1_unit","exp_group_2_unit","exp_group_1_page","exp_group_2_page","exp_disc_value","exp_disc_unit","exp_disc_page"
31,"Allianz","2022","x_92_2019_2mb","92",2019,"2mb",NA,NA,5,8,"No",NA,143,NA,"No",NA,"ktCO₂eq",NA,"No",NA,"92",NA,"No",NA,"No",NA,"Allianz Group operational greenhouse gas emissions - Scope 2 - market based",NA,"Graphic",NA,"No","Yes",143,NA,"ktCO₂eq",NA,"92",NA,"0. Missed out on correct value (false NA)",NA,"0. Missed out on correct value (false NA)",NA,13,14,"Ann2",NA,NA,"Ann2",NA,NA,NA,11,12,"Ann1",NA,NA,"Ann1",NA,NA,NA,TRUE,NA,143,NA,"ktCO₂eq",NA,"92",NA,NA,NA
32,"Allianz","2022","141","78",2020,"2mb",100722,"t CO2e",5,8,"Yes","Yes",NA,NA,"Yes",NA,NA,NA,"Yes","Yes",NA,NA,"No","No","No","No","Scope 2 – Indirect GHG emissions (market based)","Scope 2 – Indirect GHG emissions
(market based)","Table",NA,"No","Yes",100722,100722,"t CO2e","t CO2e","78","78",NA,NA,NA,NA,13,14,"Ann1",NA,NA,"Ann1",NA,NA,NA,11,12,"Ann1",NA,NA,"Ann1",NA,NA,NA,FALSE,100722,100722,"t CO2e","t CO2e","78","78",NA,NA,NA
33,"Allianz","2022","x_92_2020_2mb","92",2020,"2mb",NA,NA,5,8,"No",NA,101,NA,"No",NA,"ktCO₂eq",NA,"No",NA,"92",NA,"No",NA,"No",NA,"Allianz Group operational greenhouse gas emissions - Scope 2 - market based",NA,"Graphic",NA,"No","Yes",101,NA,"ktCO₂eq",NA,"92",NA,"0. Missed out on correct value (false NA)",NA,"0. Missed out on correct value (false NA)",NA,13,14,"Ann1",NA,NA,"Ann1",NA,NA,NA,11,12,"Ann1",NA,NA,"Ann1",NA,NA,NA,FALSE,101,101,"ktCO₂eq","ktCO₂eq","92","92",NA,NA,NA
34,"Allianz","2022","142","78",2021,"2mb",54689,"t CO2e",5,8,"Yes","Yes",NA,NA,"Yes",NA,NA,NA,"Yes","Yes",NA,NA,"No","No","No","No","Scope 2 – Indirect GHG emissions (market based)","Scope 2 – Indirect GHG emissions
(market based)","Table",NA,"No","Yes",54689,54689,"t CO2e","t CO2e","78","78",NA,NA,NA,NA,13,14,"Ann1",NA,NA,"Ann1",NA,NA,NA,11,12,"Ann1",NA,NA,"Ann1",NA,NA,NA,FALSE,54689,54689,"t CO2e","t CO2e","78","78",NA,NA,NA
35,"Allianz","2022","x_92_2021_2mb","92",2021,"2mb",NA,NA,5,8,"No",NA,55,NA,"No",NA,"ktCO₂eq",NA,"No",NA,"92",NA,"No",NA,"No",NA,"Allianz Group operational greenhouse gas emissions - Scope 2 - market based",NA,"Graphic",NA,"No","Yes",55,NA,"ktCO₂eq",NA,"92",NA,"0. Missed out on correct value (false NA)",NA,"0. Missed out on correct value (false NA)",NA,13,14,"Ann1",NA,NA,"Ann1",NA,NA,NA,11,12,"Ann1",NA,NA,"Ann1",NA,NA,NA,FALSE,55,55,"ktCO₂eq","ktCO₂eq","92","92",NA,NA,NA
36,"Allianz","2022","143","78",2022,"2mb",30490,"t CO2e",5,8,"Yes","Yes",NA,NA,"Yes",NA,NA,NA,"Yes","Yes",NA,NA,"No","No","No","No","Scope 2 – Indirect GHG emissions (market based)","Scope 2 – Indirect GHG emissions
(market based)","Table",NA,"No","Yes",30490,30490,"t CO2e","t CO2e","78","78",NA,NA,NA,NA,13,14,"Ann1",NA,NA,"Ann1",NA,NA,NA,11,12,"Ann1",NA,NA,"Ann1",NA,NA,NA,FALSE,30490,30490,"t CO2e","t CO2e","78","78",NA,NA,NA
37,"Allianz","2022","x_92_2022_2mb","92",2022,"2mb",NA,NA,5,8,"No",NA,30,NA,"No",NA,"ktCO₂eq",NA,"No",NA,"92",NA,"No",NA,"No",NA,"Allianz Group operational greenhouse gas emissions - Scope 2 - market based",NA,"Graphic",NA,"No","Yes",30,NA,"ktCO₂eq",NA,"92",NA,"0. Missed out on correct value (false NA)",NA,"0. Missed out on correct value (false NA)",NA,13,14,"Ann1",NA,NA,"Ann1",NA,NA,NA,11,12,"Ann1",NA,NA,"Ann1",NA,NA,NA,FALSE,30,30,"ktCO₂eq","ktCO₂eq","92","92",NA,NA,NA
38,"Allianz","2022","154",NA,2013,"3",NA,NA,5,8,NA,NA,NA,NA,NA,NA,NA,NA,"Yes","Yes",NA,NA,"No","No","No","No",NA,NA,NA,NA,"No","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13,14,NA,NA,NA,NA,NA,NA,NA,11,12,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
39,"Allianz","2022","155",NA,2014,"3",NA,NA,5,8,NA,NA,NA,NA,NA,NA,NA,NA,"Yes","Yes",NA,NA,"No","No","No","No",NA,NA,NA,NA,"No","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13,14,NA,NA,NA,NA,NA,NA,NA,11,12,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
40,"Allianz","2022","156",NA,2015,"3",NA,NA,5,8,NA,NA,NA,NA,NA,NA,NA,NA,"Yes","Yes",NA,NA,"No","No","No","No",NA,NA,NA,NA,"No","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13,14,NA,NA,NA,NA,NA,NA,NA,11,12,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
41,"Allianz","2022","157",NA,2016,"3",NA,NA,5,8,NA,NA,NA,NA,NA,NA,NA,NA,"Yes","Yes",NA,NA,"No","No","No","No",NA,NA,NA,NA,"No","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13,14,NA,NA,NA,NA,NA,NA,NA,11,12,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
42,"Allianz","2022","158",NA,2017,"3",NA,NA,5,8,NA,NA,NA,NA,NA,NA,NA,NA,"Yes","Yes",NA,NA,"No","No","No","No",NA,NA,NA,NA,"No","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13,14,NA,NA,NA,NA,NA,NA,NA,11,12,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
43,"Allianz","2022","159",NA,2018,"3",NA,NA,5,8,NA,NA,NA,NA,NA,NA,NA,NA,"Yes","Yes",NA,NA,"No","No","No","No",NA,NA,NA,NA,"No","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13,14,NA,NA,NA,NA,NA,NA,NA,11,12,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
45,"Allianz","2022","160",NA,2019,"3",NA,NA,5,8,NA,NA,NA,NA,NA,NA,NA,NA,"Yes","Yes",NA,NA,"No","No","No","No",NA,NA,NA,NA,"No","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13,14,NA,NA,NA,NA,NA,NA,NA,11,12,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
44,"Allianz","2022","x_92_2019_3","92",2019,"3",NA,NA,5,8,"No",NA,149,NA,"No",NA,"ktCO₂eq",NA,"No",NA,"92",NA,"No",NA,"No",NA,"Allianz Group operational greenhouse gas emissions - Scope 3",NA,"Graphic",NA,"No","Yes",149,NA,"ktCO₂eq",NA,"92",NA,"0. Missed out on correct value (false NA)",NA,"0. Missed out on correct value (false NA)",NA,13,14,"Ann1",NA,NA,"Ann1",NA,NA,NA,11,12,"Ann1",NA,NA,"Ann1",NA,NA,NA,FALSE,149,149,"ktCO₂eq","ktCO₂eq","92","92",NA,NA,NA
46,"Allianz","2022","161","78",2020,"3",73916,"t CO2e",5,8,"Yes","Yes",NA,NA,"Yes","Yes",NA,NA,"Yes","Yes",NA,NA,"No","No","No","No","Scope 3 – Other indirect GHG emissions","Scope 3 – Other indirect GHG emissions","Table","Table","No","No",73916,73916,"t CO2e","t CO2e","78","78",NA,NA,NA,NA,13,14,NA,NA,NA,NA,NA,NA,NA,11,12,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
47,"Allianz","2022","x_92_2020_3","92",2020,"3",NA,NA,5,8,"No",NA,74,NA,"No",NA,"ktCO₂eq",NA,"No",NA,"92",NA,"No",NA,"No",NA,"Allianz Group operational greenhouse gas emissions - Scope 3",NA,"Graphic",NA,"No","Yes",74,NA,"ktCO₂eq",NA,"92",NA,"0. Missed out on correct value (false NA)",NA,"0. Missed out on correct value (false NA)",NA,13,14,"Ann1",NA,NA,"Ann1",NA,NA,NA,11,12,"Ann1",NA,NA,"Ann1",NA,NA,NA,FALSE,74,74,"ktCO₂eq","ktCO₂eq","92","92",NA,NA,NA
48,"Allianz","2022","162","78",2021,"3",55359,"t CO2e",5,8,"Yes","Yes",NA,NA,"Yes","Yes",NA,NA,"Yes","Yes",NA,NA,"No","No","No","No","Scope 3 – Other indirect GHG emissions","Scope 3 – Other indirect GHG emissions","Table","Table","No","No",55359,55359,"t CO2e","t CO2e","78","78",NA,NA,NA,NA,13,14,NA,NA,NA,NA,NA,NA,NA,11,12,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
49,"Allianz","2022","x_92_2021_3","92",2021,"3",NA,NA,5,8,"No",NA,55,NA,"No",NA,"ktCO₂eq",NA,"No",NA,"92",NA,"No",NA,"No",NA,"Allianz Group operational greenhouse gas emissions - Scope 3",NA,"Graphic",NA,"No","Yes",55,NA,"ktCO₂eq",NA,"92",NA,"0. Missed out on correct value (false NA)",NA,"0. Missed out on correct value (false NA)",NA,13,14,"Ann1",NA,NA,"Ann1",NA,NA,NA,11,12,"Ann1",NA,NA,"Ann1",NA,NA,NA,FALSE,55,55,"ktCO₂eq","ktCO₂eq","92","92",NA,NA,NA
50,"Allianz","2022","163","78",2022,"3",92467,"t CO2e",5,8,"Yes","Yes",NA,NA,"Yes","Yes",NA,NA,"Yes","Yes",NA,NA,"No","No","No","No","Scope 3 – Other indirect GHG emissions","Scope 3 – Other indirect GHG emissions","Table","Table","No","No",92467,92467,"t CO2e","t CO2e","78","78",NA,NA,NA,NA,13,14,NA,NA,NA,NA,NA,NA,NA,11,12,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
