"report_name","document_comment_1","document_comment_2","document_expert_requested_by_at_least_one_annotator","row_expert_requested_by_at_least_one_annotator_or_disagreement","ID","page_used","llm_year","llm_scope","llm_value","value_correct_1","value_correct_2","corrected_value_1","corrected_value_2","llm_unit","unit_correct_1","unit_correct_2","corrected_unit_1","corrected_unit_2","corrected_page_1","corrected_page_2","comment_1","comment_2"
"Allianz_2022_report.pdf","rows 53-60 were added here, because all numbers appear twice, one time in a table (measured in t), a second time in a Figure (measured in kt)",NA,"No","Yes","143","78",2022,"2mb",30490,"Yes","Yes",NA,NA,"t CO2e","Yes",NA,NA,NA,NA,NA,NA,NA
"Allianz_2022_report.pdf","rows 53-60 were added here, because all numbers appear twice, one time in a table (measured in t), a second time in a Figure (measured in kt)",NA,"No","No","144",NA,2013,"2lb",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Allianz_2022_report.pdf","rows 53-60 were added here, because all numbers appear twice, one time in a table (measured in t), a second time in a Figure (measured in kt)",NA,"No","No","145",NA,2014,"2lb",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Allianz_2022_report.pdf","rows 53-60 were added here, because all numbers appear twice, one time in a table (measured in t), a second time in a Figure (measured in kt)",NA,"No","No","146",NA,2015,"2lb",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Allianz_2022_report.pdf","rows 53-60 were added here, because all numbers appear twice, one time in a table (measured in t), a second time in a Figure (measured in kt)",NA,"No","No","147",NA,2016,"2lb",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Allianz_2022_report.pdf","rows 53-60 were added here, because all numbers appear twice, one time in a table (measured in t), a second time in a Figure (measured in kt)",NA,"No","No","148",NA,2017,"2lb",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Allianz_2022_report.pdf","rows 53-60 were added here, because all numbers appear twice, one time in a table (measured in t), a second time in a Figure (measured in kt)",NA,"No","No","149",NA,2018,"2lb",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Allianz_2022_report.pdf","rows 53-60 were added here, because all numbers appear twice, one time in a table (measured in t), a second time in a Figure (measured in kt)",NA,"No","Yes","150",NA,2019,"2lb",NA,NA,"No",NA,149,NA,NA,"No",NA,"ktCO₂eq",NA,"92",NA,NA
"Allianz_2022_report.pdf","rows 53-60 were added here, because all numbers appear twice, one time in a table (measured in t), a second time in a Figure (measured in kt)",NA,"No","No","151","78",2020,"2lb",180826,"Yes","Yes",NA,NA,"t CO2e","Yes","Yes",NA,NA,NA,NA,NA,NA
"Allianz_2022_report.pdf","rows 53-60 were added here, because all numbers appear twice, one time in a table (measured in t), a second time in a Figure (measured in kt)",NA,"No","No","152","78",2021,"2lb",149599,"Yes","Yes",NA,NA,"t CO2e","Yes","Yes",NA,NA,NA,NA,NA,NA
"Allianz_2022_report.pdf","rows 53-60 were added here, because all numbers appear twice, one time in a table (measured in t), a second time in a Figure (measured in kt)",NA,"No","No","153","78",2022,"2lb",138339,"Yes","Yes",NA,NA,"t CO2e","Yes","Yes",NA,NA,NA,NA,NA,NA
"Allianz_2022_report.pdf","rows 53-60 were added here, because all numbers appear twice, one time in a table (measured in t), a second time in a Figure (measured in kt)",NA,"No","No","154",NA,2013,"3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Allianz_2022_report.pdf","rows 53-60 were added here, because all numbers appear twice, one time in a table (measured in t), a second time in a Figure (measured in kt)",NA,"No","No","155",NA,2014,"3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Allianz_2022_report.pdf","rows 53-60 were added here, because all numbers appear twice, one time in a table (measured in t), a second time in a Figure (measured in kt)",NA,"No","No","156",NA,2015,"3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Allianz_2022_report.pdf","rows 53-60 were added here, because all numbers appear twice, one time in a table (measured in t), a second time in a Figure (measured in kt)",NA,"No","No","157",NA,2016,"3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Allianz_2022_report.pdf","rows 53-60 were added here, because all numbers appear twice, one time in a table (measured in t), a second time in a Figure (measured in kt)",NA,"No","No","158",NA,2017,"3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Allianz_2022_report.pdf","rows 53-60 were added here, because all numbers appear twice, one time in a table (measured in t), a second time in a Figure (measured in kt)",NA,"No","No","159",NA,2018,"3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Allianz_2022_report.pdf","rows 53-60 were added here, because all numbers appear twice, one time in a table (measured in t), a second time in a Figure (measured in kt)",NA,"No","No","160",NA,2019,"3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Allianz_2022_report.pdf","rows 53-60 were added here, because all numbers appear twice, one time in a table (measured in t), a second time in a Figure (measured in kt)",NA,"No","No","161","78",2020,"3",73916,"Yes","Yes",NA,NA,"t CO2e","Yes","Yes",NA,NA,NA,NA,NA,NA
"Allianz_2022_report.pdf","rows 53-60 were added here, because all numbers appear twice, one time in a table (measured in t), a second time in a Figure (measured in kt)",NA,"No","No","162","78",2021,"3",55359,"Yes","Yes",NA,NA,"t CO2e","Yes","Yes",NA,NA,NA,NA,NA,NA
"Allianz_2022_report.pdf","rows 53-60 were added here, because all numbers appear twice, one time in a table (measured in t), a second time in a Figure (measured in kt)",NA,"No","No","163","78",2022,"3",92467,"Yes","Yes",NA,NA,"t CO2e","Yes","Yes",NA,NA,NA,NA,NA,NA
"Daimler_2020_report.pdf",NA,NA,"No","No","164",NA,2013,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Daimler_2020_report.pdf",NA,NA,"No","No","165",NA,2014,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Daimler_2020_report.pdf",NA,NA,"No","No","166",NA,2015,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Daimler_2020_report.pdf",NA,NA,"No","No","167","63",2016,"1",1056,"Yes","Yes",NA,NA,"thousand tonnes","Yes","Yes",NA,NA,NA,NA,NA,NA
"Daimler_2020_report.pdf",NA,NA,"No","No","168","63",2017,"1",1192,"Yes","Yes",NA,NA,"thousand tonnes","Yes","Yes",NA,NA,NA,NA,NA,NA
"Daimler_2020_report.pdf",NA,NA,"No","No","169","63",2018,"1",1247,"Yes","Yes",NA,NA,"thousand tonnes","Yes","Yes",NA,NA,NA,NA,NA,NA
"Daimler_2020_report.pdf",NA,NA,"No","No","170","63",2019,"1",1239,"Yes","Yes",NA,NA,"thousand tonnes","Yes","Yes",NA,NA,NA,NA,NA,NA
"Daimler_2020_report.pdf",NA,NA,"No","No","171","63",2020,"1",1027,"Yes","Yes",NA,NA,"thousand tonnes","Yes","Yes",NA,NA,NA,NA,NA,NA
"Daimler_2020_report.pdf",NA,NA,"No","No","172",NA,2021,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Daimler_2020_report.pdf",NA,NA,"No","No","173",NA,2022,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Daimler_2020_report.pdf",NA,NA,"No","No","174",NA,2013,"2mb",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Daimler_2020_report.pdf",NA,NA,"No","No","175",NA,2014,"2mb",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Daimler_2020_report.pdf",NA,NA,"No","No","176",NA,2015,"2mb",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Daimler_2020_report.pdf",NA,NA,"No","No","177","63",2016,"2mb",1882,"Yes","Yes",NA,NA,"thousand tonnes","Yes","Yes",NA,NA,NA,NA,NA,NA
"Daimler_2020_report.pdf",NA,NA,"No","No","178","63",2017,"2mb",1763,"Yes","Yes",NA,NA,"thousand tonnes","Yes","Yes",NA,NA,NA,NA,NA,NA
"Daimler_2020_report.pdf",NA,NA,"No","No","179","63",2018,"2mb",1687,"Yes","Yes",NA,NA,"thousand tonnes","Yes","Yes",NA,NA,NA,NA,NA,NA
"Daimler_2020_report.pdf",NA,NA,"No","No","180","63",2019,"2mb",1276,"Yes","Yes",NA,NA,"thousand tonnes","Yes","Yes",NA,NA,NA,NA,NA,NA
"Daimler_2020_report.pdf",NA,NA,"No","No","181","63",2020,"2mb",1035,"Yes","Yes",NA,NA,"thousand tonnes","Yes","Yes",NA,NA,NA,NA,NA,NA
"Daimler_2020_report.pdf",NA,NA,"No","No","182",NA,2021,"2mb",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Daimler_2020_report.pdf",NA,NA,"No","No","183",NA,2022,"2mb",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Daimler_2020_report.pdf",NA,NA,"No","No","184",NA,2013,"2lb",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Daimler_2020_report.pdf",NA,NA,"No","No","185",NA,2014,"2lb",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Daimler_2020_report.pdf",NA,NA,"No","No","186",NA,2015,"2lb",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Daimler_2020_report.pdf",NA,NA,"No","Yes","187","63",2016,"2lb",2141,"Yes","Yes",NA,NA,"thousand tonnes",NA,"Yes",NA,NA,NA,NA,NA,NA
"Daimler_2020_report.pdf",NA,NA,"No","Yes","188","63",2017,"2lb",2041,"Yes","Yes",NA,NA,"thousand tonnes",NA,"Yes",NA,NA,NA,NA,NA,NA
"Daimler_2020_report.pdf",NA,NA,"No","Yes","189","63",2018,"2lb",1985,"Yes","Yes",NA,NA,"thousand tonnes",NA,"Yes",NA,NA,NA,NA,NA,NA
"Daimler_2020_report.pdf",NA,NA,"No","Yes","190","63",2019,"2lb",1706,"Yes","Yes",NA,NA,"thousand tonnes",NA,"Yes",NA,NA,NA,NA,NA,NA
"Daimler_2020_report.pdf",NA,NA,"No","Yes","191","63",2020,"2lb",1492,"Yes","Yes",NA,NA,"thousand tonnes",NA,"Yes",NA,NA,NA,NA,NA,NA
"Daimler_2020_report.pdf",NA,NA,"No","No","192",NA,2021,"2lb",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Daimler_2020_report.pdf",NA,NA,"No","No","193",NA,2022,"2lb",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Daimler_2020_report.pdf",NA,NA,"No","No","194",NA,2013,"3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Daimler_2020_report.pdf",NA,NA,"No","No","195",NA,2014,"3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Daimler_2020_report.pdf",NA,NA,"No","No","196",NA,2015,"3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Daimler_2020_report.pdf",NA,NA,"No","No","197",NA,2016,"3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Daimler_2020_report.pdf",NA,NA,"No","No","198",NA,2017,"3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Daimler_2020_report.pdf",NA,NA,"No","No","199",NA,2018,"3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Daimler_2020_report.pdf",NA,NA,"No","No","200",NA,2019,"3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Daimler_2020_report.pdf",NA,NA,"No","No","201",NA,2020,"3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Daimler_2020_report.pdf",NA,NA,"No","No","202",NA,2021,"3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Daimler_2020_report.pdf",NA,NA,"No","No","203",NA,2022,"3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Fresenius SE_2019_report.pdf",NA,"ISO 14001 standard also mentioned in report","No","No","803",NA,2013,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Fresenius SE_2019_report.pdf",NA,"ISO 14001 standard also mentioned in report","No","No","804",NA,2014,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Fresenius SE_2019_report.pdf",NA,"ISO 14001 standard also mentioned in report","No","No","805",NA,2015,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Fresenius SE_2019_report.pdf",NA,"ISO 14001 standard also mentioned in report","No","No","806",NA,2016,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Fresenius SE_2019_report.pdf",NA,"ISO 14001 standard also mentioned in report","No","No","807",NA,2017,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Fresenius SE_2019_report.pdf",NA,"ISO 14001 standard also mentioned in report","No","No","808",NA,2018,"1",NA,"No","No",521,521,NA,"No","No","t CO 2 equivalents in thousands","t CO2 equivalents in thousands","126","126",NA,NA
"Fresenius SE_2019_report.pdf",NA,"ISO 14001 standard also mentioned in report","No","No","809",NA,2019,"1",NA,"No","No",517,517,NA,"No","No","t CO 2 equivalents in thousands","t CO2 equivalents in thousands","126","126",NA,NA
"Fresenius SE_2019_report.pdf",NA,"ISO 14001 standard also mentioned in report","No","No","810",NA,2020,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Fresenius SE_2019_report.pdf",NA,"ISO 14001 standard also mentioned in report","No","No","811",NA,2021,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Fresenius SE_2019_report.pdf",NA,"ISO 14001 standard also mentioned in report","No","No","812",NA,2022,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Fresenius SE_2019_report.pdf",NA,"ISO 14001 standard also mentioned in report","No","No","813",NA,2013,"2mb",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Fresenius SE_2019_report.pdf",NA,"ISO 14001 standard also mentioned in report","No","No","814",NA,2014,"2mb",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Fresenius SE_2019_report.pdf",NA,"ISO 14001 standard also mentioned in report","No","No","815",NA,2015,"2mb",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Fresenius SE_2019_report.pdf",NA,"ISO 14001 standard also mentioned in report","No","No","816",NA,2016,"2mb",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Fresenius SE_2019_report.pdf",NA,"ISO 14001 standard also mentioned in report","No","No","817",NA,2017,"2mb",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Fresenius SE_2019_report.pdf",NA,"ISO 14001 standard also mentioned in report","No","No","818",NA,2018,"2mb",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Fresenius SE_2019_report.pdf",NA,"ISO 14001 standard also mentioned in report","No","No","819",NA,2019,"2mb",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Fresenius SE_2019_report.pdf",NA,"ISO 14001 standard also mentioned in report","No","No","820",NA,2020,"2mb",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Fresenius SE_2019_report.pdf",NA,"ISO 14001 standard also mentioned in report","No","No","821",NA,2021,"2mb",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Fresenius SE_2019_report.pdf",NA,"ISO 14001 standard also mentioned in report","No","No","822",NA,2022,"2mb",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Fresenius SE_2019_report.pdf",NA,"ISO 14001 standard also mentioned in report","No","No","823",NA,2013,"2lb",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Fresenius SE_2019_report.pdf",NA,"ISO 14001 standard also mentioned in report","No","No","824",NA,2014,"2lb",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Fresenius SE_2019_report.pdf",NA,"ISO 14001 standard also mentioned in report","No","No","825",NA,2015,"2lb",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Fresenius SE_2019_report.pdf",NA,"ISO 14001 standard also mentioned in report","No","No","826",NA,2016,"2lb",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Fresenius SE_2019_report.pdf",NA,"ISO 14001 standard also mentioned in report","No","No","827",NA,2017,"2lb",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Fresenius SE_2019_report.pdf",NA,"ISO 14001 standard also mentioned in report","No","No","828",NA,2018,"2lb",NA,"No","No",1013,1013,NA,"No","No","t CO 2 equivalents in thousands","t CO2 equivalents in thousands","126","126",NA,NA
"Fresenius SE_2019_report.pdf",NA,"ISO 14001 standard also mentioned in report","No","No","829",NA,2019,"2lb",NA,"No","No",992,992,NA,"No","No","t CO 2 equivalents in thousands","t CO2 equivalents in thousands","126","126",NA,NA
"Fresenius SE_2019_report.pdf",NA,"ISO 14001 standard also mentioned in report","No","No","830",NA,2020,"2lb",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Fresenius SE_2019_report.pdf",NA,"ISO 14001 standard also mentioned in report","No","No","831",NA,2021,"2lb",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Fresenius SE_2019_report.pdf",NA,"ISO 14001 standard also mentioned in report","No","No","832",NA,2022,"2lb",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Fresenius SE_2019_report.pdf",NA,"ISO 14001 standard also mentioned in report","No","No","833",NA,2013,"3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Fresenius SE_2019_report.pdf",NA,"ISO 14001 standard also mentioned in report","No","No","834",NA,2014,"3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Fresenius SE_2019_report.pdf",NA,"ISO 14001 standard also mentioned in report","No","No","835",NA,2015,"3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Fresenius SE_2019_report.pdf",NA,"ISO 14001 standard also mentioned in report","No","No","836",NA,2016,"3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Fresenius SE_2019_report.pdf",NA,"ISO 14001 standard also mentioned in report","No","No","837",NA,2017,"3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Fresenius SE_2019_report.pdf",NA,"ISO 14001 standard also mentioned in report","No","No","838",NA,2018,"3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Fresenius SE_2019_report.pdf",NA,"ISO 14001 standard also mentioned in report","No","No","839",NA,2019,"3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Fresenius SE_2019_report.pdf",NA,"ISO 14001 standard also mentioned in report","No","No","840",NA,2020,"3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Fresenius SE_2019_report.pdf",NA,"ISO 14001 standard also mentioned in report","No","No","841",NA,2021,"3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Fresenius SE_2019_report.pdf",NA,"ISO 14001 standard also mentioned in report","No","No","842",NA,2022,"3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"acuity brands inc_2022_report.pdf","This report covers fiscal 2022 results, and includes estimates and assumptions collected from September 1, 2021 to 31.08.2022 --> Is the report then correct? Is it for 2022?",NA,"Yes","No","890",NA,2013,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"acuity brands inc_2022_report.pdf","This report covers fiscal 2022 results, and includes estimates and assumptions collected from September 1, 2021 to 31.08.2022 --> Is the report then correct? Is it for 2022?",NA,"Yes","No","891",NA,2014,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"acuity brands inc_2022_report.pdf","This report covers fiscal 2022 results, and includes estimates and assumptions collected from September 1, 2021 to 31.08.2022 --> Is the report then correct? Is it for 2022?",NA,"Yes","No","892",NA,2015,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"acuity brands inc_2022_report.pdf","This report covers fiscal 2022 results, and includes estimates and assumptions collected from September 1, 2021 to 31.08.2022 --> Is the report then correct? Is it for 2022?",NA,"Yes","No","893",NA,2016,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"acuity brands inc_2022_report.pdf","This report covers fiscal 2022 results, and includes estimates and assumptions collected from September 1, 2021 to 31.08.2022 --> Is the report then correct? Is it for 2022?",NA,"Yes","No","894",NA,2017,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
