"Report Name","Document comment Annotator 1","Document comment Annotator 2","Expert document comment.g1","Expert document comment.g2","Document-level expert adjudication requested by at least 1 annotator","ID","Page used","LLM Year","LLM Scope","LLM Value","LLM Unit","Value Ann 1","Value Ann 2","Value: Who is right?.g1","Value corrected (fill in if necessary).g1","Value Reasoning (select if necessary, if multiple apply choose first).g1","Value: Who is right?.g2","Value corrected (fill in if necessary).g2","Value Reasoning (select if necessary, if multiple apply choose first).g2","Unit Ann 1","Unit Ann 2","Unit: Who is right?.g1","Unit corrected (fill in if necessary).g1","Unit reasoning  (select if necessary, if multiple apply choose first).g1","Unit: Who is right?.g2","Unit corrected (fill in if necessary).g2","Unit reasoning  (select if necessary, if multiple apply choose first).g2","Corrected page Ann 1","Corrected page Ann 2","Page corrected (fill in if necessary).g1","Page corrected (fill in if necessary).g2","Comment Ann1","Comment Ann2","Expert comment.g1","Expert comment.g2","Unclear record (Yes/No).g1","Unclear record (Yes/No).g2","row_disagreement_value_unit_page_or_unclear","agreement_value","agreement_unit","agreement_page","agreement_value_unit","agreement_value_unit_page"
"sps commerce inc_2020_report.pdf",NA,"p. 66: ""CO 2 emissions are reported separately for the real estate and services segments, as emissions from the services segment (see pp. 69–70) are negligible compared with 
the emissions from the property portfolio (8.8% of total emissions in the reporting year)."" Total CO2 emissions from all segments were not been calculated in this report.","Portfolio emissions and emissions from operations (services) are stated separately, extracted value of 0 was explicitly stated and correct (if we would deem it believable). For scope 3 emissions, portfolio and operations emissions need to be aggregated, so neither of the (2) values are correct",NA,"No","11",NA,2021,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No",FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
"sps commerce inc_2020_report.pdf",NA,"p. 66: ""CO 2 emissions are reported separately for the real estate and services segments, as emissions from the services segment (see pp. 69–70) are negligible compared with 
the emissions from the property portfolio (8.8% of total emissions in the reporting year)."" Total CO2 emissions from all segments were not been calculated in this report.","Portfolio emissions and emissions from operations (services) are stated separately, extracted value of 0 was explicitly stated and correct (if we would deem it believable). For scope 3 emissions, portfolio and operations emissions need to be aggregated, so neither of the (2) values are correct",NA,"No","12",NA,2022,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No",FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
"sps commerce inc_2020_report.pdf",NA,"p. 66: ""CO 2 emissions are reported separately for the real estate and services segments, as emissions from the services segment (see pp. 69–70) are negligible compared with 
the emissions from the property portfolio (8.8% of total emissions in the reporting year)."" Total CO2 emissions from all segments were not been calculated in this report.","Portfolio emissions and emissions from operations (services) are stated separately, extracted value of 0 was explicitly stated and correct (if we would deem it believable). For scope 3 emissions, portfolio and operations emissions need to be aggregated, so neither of the (2) values are correct",NA,"No","13",NA,2013,"2mb",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No",FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
"sps commerce inc_2020_report.pdf",NA,"p. 66: ""CO 2 emissions are reported separately for the real estate and services segments, as emissions from the services segment (see pp. 69–70) are negligible compared with 
the emissions from the property portfolio (8.8% of total emissions in the reporting year)."" Total CO2 emissions from all segments were not been calculated in this report.","Portfolio emissions and emissions from operations (services) are stated separately, extracted value of 0 was explicitly stated and correct (if we would deem it believable). For scope 3 emissions, portfolio and operations emissions need to be aggregated, so neither of the (2) values are correct",NA,"No","14",NA,2014,"2mb",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No",FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
"sps commerce inc_2020_report.pdf",NA,"p. 66: ""CO 2 emissions are reported separately for the real estate and services segments, as emissions from the services segment (see pp. 69–70) are negligible compared with 
the emissions from the property portfolio (8.8% of total emissions in the reporting year)."" Total CO2 emissions from all segments were not been calculated in this report.","Portfolio emissions and emissions from operations (services) are stated separately, extracted value of 0 was explicitly stated and correct (if we would deem it believable). For scope 3 emissions, portfolio and operations emissions need to be aggregated, so neither of the (2) values are correct",NA,"No","15",NA,2015,"2mb",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No",FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
"sps commerce inc_2020_report.pdf",NA,"p. 66: ""CO 2 emissions are reported separately for the real estate and services segments, as emissions from the services segment (see pp. 69–70) are negligible compared with 
the emissions from the property portfolio (8.8% of total emissions in the reporting year)."" Total CO2 emissions from all segments were not been calculated in this report.","Portfolio emissions and emissions from operations (services) are stated separately, extracted value of 0 was explicitly stated and correct (if we would deem it believable). For scope 3 emissions, portfolio and operations emissions need to be aggregated, so neither of the (2) values are correct",NA,"No","16",NA,2016,"2mb",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No",FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
"sps commerce inc_2020_report.pdf",NA,"p. 66: ""CO 2 emissions are reported separately for the real estate and services segments, as emissions from the services segment (see pp. 69–70) are negligible compared with 
the emissions from the property portfolio (8.8% of total emissions in the reporting year)."" Total CO2 emissions from all segments were not been calculated in this report.","Portfolio emissions and emissions from operations (services) are stated separately, extracted value of 0 was explicitly stated and correct (if we would deem it believable). For scope 3 emissions, portfolio and operations emissions need to be aggregated, so neither of the (2) values are correct",NA,"No","17",NA,2017,"2mb",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No",FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
"sps commerce inc_2020_report.pdf",NA,"p. 66: ""CO 2 emissions are reported separately for the real estate and services segments, as emissions from the services segment (see pp. 69–70) are negligible compared with 
the emissions from the property portfolio (8.8% of total emissions in the reporting year)."" Total CO2 emissions from all segments were not been calculated in this report.","Portfolio emissions and emissions from operations (services) are stated separately, extracted value of 0 was explicitly stated and correct (if we would deem it believable). For scope 3 emissions, portfolio and operations emissions need to be aggregated, so neither of the (2) values are correct",NA,"No","18",NA,2018,"2mb",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No",FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
"sps commerce inc_2020_report.pdf",NA,"p. 66: ""CO 2 emissions are reported separately for the real estate and services segments, as emissions from the services segment (see pp. 69–70) are negligible compared with 
the emissions from the property portfolio (8.8% of total emissions in the reporting year)."" Total CO2 emissions from all segments were not been calculated in this report.","Portfolio emissions and emissions from operations (services) are stated separately, extracted value of 0 was explicitly stated and correct (if we would deem it believable). For scope 3 emissions, portfolio and operations emissions need to be aggregated, so neither of the (2) values are correct",NA,"No","19","69",2019,"2mb",0,"tCO2e",4016,NA,"Ann1",NA,NA,"Ann2",NA,"2. WV: Extracted value is not related to the whole company","tCO2e",NA,"Ann1",NA,NA,"Ann2",NA,"2. WV: Extracted value is not related to the whole company",NA,NA,"66.0",NA,NA,NA,"Emissions mentioned on page 66, on 68 and 69 the values 0 are stated, which is correct or not",NA,"No","No",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"sps commerce inc_2020_report.pdf",NA,"p. 66: ""CO 2 emissions are reported separately for the real estate and services segments, as emissions from the services segment (see pp. 69–70) are negligible compared with 
the emissions from the property portfolio (8.8% of total emissions in the reporting year)."" Total CO2 emissions from all segments were not been calculated in this report.","Portfolio emissions and emissions from operations (services) are stated separately, extracted value of 0 was explicitly stated and correct (if we would deem it believable). For scope 3 emissions, portfolio and operations emissions need to be aggregated, so neither of the (2) values are correct",NA,"No","20","69",2020,"2mb",0,"tCO2e",4260,NA,"Ann1",NA,NA,"Ann2",NA,"2. WV: Extracted value is not related to the whole company","tCO2e",NA,"Ann1",NA,NA,"Ann2",NA,"2. WV: Extracted value is not related to the whole company",NA,NA,"66.0",NA,NA,NA,"Emissions mentioned on page 66, on 68 and 69 the values 0 are stated, which is correct or not",NA,"No","No",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"sps commerce inc_2020_report.pdf",NA,"p. 66: ""CO 2 emissions are reported separately for the real estate and services segments, as emissions from the services segment (see pp. 69–70) are negligible compared with 
the emissions from the property portfolio (8.8% of total emissions in the reporting year)."" Total CO2 emissions from all segments were not been calculated in this report.","Portfolio emissions and emissions from operations (services) are stated separately, extracted value of 0 was explicitly stated and correct (if we would deem it believable). For scope 3 emissions, portfolio and operations emissions need to be aggregated, so neither of the (2) values are correct",NA,"No","21",NA,2021,"2mb",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No",FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
"sps commerce inc_2020_report.pdf",NA,"p. 66: ""CO 2 emissions are reported separately for the real estate and services segments, as emissions from the services segment (see pp. 69–70) are negligible compared with 
the emissions from the property portfolio (8.8% of total emissions in the reporting year)."" Total CO2 emissions from all segments were not been calculated in this report.","Portfolio emissions and emissions from operations (services) are stated separately, extracted value of 0 was explicitly stated and correct (if we would deem it believable). For scope 3 emissions, portfolio and operations emissions need to be aggregated, so neither of the (2) values are correct",NA,"No","22",NA,2022,"2mb",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No",FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
"sps commerce inc_2020_report.pdf",NA,"p. 66: ""CO 2 emissions are reported separately for the real estate and services segments, as emissions from the services segment (see pp. 69–70) are negligible compared with 
the emissions from the property portfolio (8.8% of total emissions in the reporting year)."" Total CO2 emissions from all segments were not been calculated in this report.","Portfolio emissions and emissions from operations (services) are stated separately, extracted value of 0 was explicitly stated and correct (if we would deem it believable). For scope 3 emissions, portfolio and operations emissions need to be aggregated, so neither of the (2) values are correct",NA,"No","23",NA,2013,"2lb",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No",FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
"sps commerce inc_2020_report.pdf",NA,"p. 66: ""CO 2 emissions are reported separately for the real estate and services segments, as emissions from the services segment (see pp. 69–70) are negligible compared with 
the emissions from the property portfolio (8.8% of total emissions in the reporting year)."" Total CO2 emissions from all segments were not been calculated in this report.","Portfolio emissions and emissions from operations (services) are stated separately, extracted value of 0 was explicitly stated and correct (if we would deem it believable). For scope 3 emissions, portfolio and operations emissions need to be aggregated, so neither of the (2) values are correct",NA,"No","24",NA,2014,"2lb",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No",FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
"sps commerce inc_2020_report.pdf",NA,"p. 66: ""CO 2 emissions are reported separately for the real estate and services segments, as emissions from the services segment (see pp. 69–70) are negligible compared with 
the emissions from the property portfolio (8.8% of total emissions in the reporting year)."" Total CO2 emissions from all segments were not been calculated in this report.","Portfolio emissions and emissions from operations (services) are stated separately, extracted value of 0 was explicitly stated and correct (if we would deem it believable). For scope 3 emissions, portfolio and operations emissions need to be aggregated, so neither of the (2) values are correct",NA,"No","25",NA,2015,"2lb",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No",FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
"sps commerce inc_2020_report.pdf",NA,"p. 66: ""CO 2 emissions are reported separately for the real estate and services segments, as emissions from the services segment (see pp. 69–70) are negligible compared with 
the emissions from the property portfolio (8.8% of total emissions in the reporting year)."" Total CO2 emissions from all segments were not been calculated in this report.","Portfolio emissions and emissions from operations (services) are stated separately, extracted value of 0 was explicitly stated and correct (if we would deem it believable). For scope 3 emissions, portfolio and operations emissions need to be aggregated, so neither of the (2) values are correct",NA,"No","26",NA,2016,"2lb",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No",FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
"sps commerce inc_2020_report.pdf",NA,"p. 66: ""CO 2 emissions are reported separately for the real estate and services segments, as emissions from the services segment (see pp. 69–70) are negligible compared with 
the emissions from the property portfolio (8.8% of total emissions in the reporting year)."" Total CO2 emissions from all segments were not been calculated in this report.","Portfolio emissions and emissions from operations (services) are stated separately, extracted value of 0 was explicitly stated and correct (if we would deem it believable). For scope 3 emissions, portfolio and operations emissions need to be aggregated, so neither of the (2) values are correct",NA,"No","27",NA,2017,"2lb",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No",FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
"sps commerce inc_2020_report.pdf",NA,"p. 66: ""CO 2 emissions are reported separately for the real estate and services segments, as emissions from the services segment (see pp. 69–70) are negligible compared with 
the emissions from the property portfolio (8.8% of total emissions in the reporting year)."" Total CO2 emissions from all segments were not been calculated in this report.","Portfolio emissions and emissions from operations (services) are stated separately, extracted value of 0 was explicitly stated and correct (if we would deem it believable). For scope 3 emissions, portfolio and operations emissions need to be aggregated, so neither of the (2) values are correct",NA,"No","28",NA,2018,"2lb",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No",FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
"sps commerce inc_2020_report.pdf",NA,"p. 66: ""CO 2 emissions are reported separately for the real estate and services segments, as emissions from the services segment (see pp. 69–70) are negligible compared with 
the emissions from the property portfolio (8.8% of total emissions in the reporting year)."" Total CO2 emissions from all segments were not been calculated in this report.","Portfolio emissions and emissions from operations (services) are stated separately, extracted value of 0 was explicitly stated and correct (if we would deem it believable). For scope 3 emissions, portfolio and operations emissions need to be aggregated, so neither of the (2) values are correct",NA,"No","29",NA,2019,"2lb",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No",FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
"sps commerce inc_2020_report.pdf",NA,"p. 66: ""CO 2 emissions are reported separately for the real estate and services segments, as emissions from the services segment (see pp. 69–70) are negligible compared with 
the emissions from the property portfolio (8.8% of total emissions in the reporting year)."" Total CO2 emissions from all segments were not been calculated in this report.","Portfolio emissions and emissions from operations (services) are stated separately, extracted value of 0 was explicitly stated and correct (if we would deem it believable). For scope 3 emissions, portfolio and operations emissions need to be aggregated, so neither of the (2) values are correct",NA,"No","30",NA,2020,"2lb",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No",FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
"sps commerce inc_2020_report.pdf",NA,"p. 66: ""CO 2 emissions are reported separately for the real estate and services segments, as emissions from the services segment (see pp. 69–70) are negligible compared with 
the emissions from the property portfolio (8.8% of total emissions in the reporting year)."" Total CO2 emissions from all segments were not been calculated in this report.","Portfolio emissions and emissions from operations (services) are stated separately, extracted value of 0 was explicitly stated and correct (if we would deem it believable). For scope 3 emissions, portfolio and operations emissions need to be aggregated, so neither of the (2) values are correct",NA,"No","31",NA,2021,"2lb",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No",FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
"sps commerce inc_2020_report.pdf",NA,"p. 66: ""CO 2 emissions are reported separately for the real estate and services segments, as emissions from the services segment (see pp. 69–70) are negligible compared with 
the emissions from the property portfolio (8.8% of total emissions in the reporting year)."" Total CO2 emissions from all segments were not been calculated in this report.","Portfolio emissions and emissions from operations (services) are stated separately, extracted value of 0 was explicitly stated and correct (if we would deem it believable). For scope 3 emissions, portfolio and operations emissions need to be aggregated, so neither of the (2) values are correct",NA,"No","32",NA,2022,"2lb",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No",FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
"sps commerce inc_2020_report.pdf",NA,"p. 66: ""CO 2 emissions are reported separately for the real estate and services segments, as emissions from the services segment (see pp. 69–70) are negligible compared with 
the emissions from the property portfolio (8.8% of total emissions in the reporting year)."" Total CO2 emissions from all segments were not been calculated in this report.","Portfolio emissions and emissions from operations (services) are stated separately, extracted value of 0 was explicitly stated and correct (if we would deem it believable). For scope 3 emissions, portfolio and operations emissions need to be aggregated, so neither of the (2) values are correct",NA,"No","33",NA,2013,"3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No",FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
"sps commerce inc_2020_report.pdf",NA,"p. 66: ""CO 2 emissions are reported separately for the real estate and services segments, as emissions from the services segment (see pp. 69–70) are negligible compared with 
the emissions from the property portfolio (8.8% of total emissions in the reporting year)."" Total CO2 emissions from all segments were not been calculated in this report.","Portfolio emissions and emissions from operations (services) are stated separately, extracted value of 0 was explicitly stated and correct (if we would deem it believable). For scope 3 emissions, portfolio and operations emissions need to be aggregated, so neither of the (2) values are correct",NA,"No","34",NA,2014,"3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No",FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
